tourney_start_date,tourney_sack,surface_sack,round_sack,winner_name,loser_name,score,tourney_td,Location,surface_td,round_td,winner_td,loser_td,match_date_td,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,key_city_players,key_city_round_players,key_cityonly_players,key_cityonly_round_players,tkey_city,city_key,players_sorted,rnd_canon,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_key,l_key
2017-01-02,Brisbane,Hard,R32,Rafael Nadal,Alexandr Dolgopolov,6-3 6-3,,,,,,,,,,,,,,,,,,,,brisbane_hard__a dolgopolov__r nadal,brisbane_hard__R32__a dolgopolov__r nadal,brisbane__a dolgopolov__r nadal,brisbane__R32__a dolgopolov__r nadal,brisbane_hard,brisbane,a dolgopolov__r nadal,R32,104745,5.0,,Rafael Nadal,L,185.0,ESP,30.5,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,3,74.0,2.0,1.0,52.0,36.0,26.0,10.0,9.0,2.0,3.0,2.0,2.0,53.0,28.0,20.0,7.0,9.0,0.0,4.0,9.0,3300.0,62.0,760.0,r nadal,a dolgopolov
2017-01-02,Brisbane,Hard,F,Grigor Dimitrov,Kei Nishikori,6-2 2-6 6-3,,,,,,,,,,,,,,,,,,,,brisbane_hard__g dimitrov__k nishikori,brisbane_hard__F__g dimitrov__k nishikori,brisbane__g dimitrov__k nishikori,brisbane__F__g dimitrov__k nishikori,brisbane_hard,brisbane,g dimitrov__k nishikori,F,105777,7.0,,Grigor Dimitrov,R,191.0,BUL,25.6,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,3,108.0,7.0,2.0,77.0,52.0,41.0,12.0,13.0,5.0,7.0,4.0,0.0,69.0,49.0,36.0,9.0,12.0,2.0,5.0,17.0,2035.0,5.0,4905.0,g dimitrov,k nishikori
2017-01-02,Chennai,Hard,R16,Albert Ramos,Steve Darcis,6-2 6-0,,,,,,,,,,,,,,,,,,,,chennai_hard__a ramos__s darcis,chennai_hard__R16__a ramos__s darcis,chennai__a ramos__s darcis,chennai__R16__a ramos__s darcis,chennai_hard,chennai,a ramos__s darcis,R16,105077,3.0,,Albert Ramos,L,188.0,ESP,28.9,104327,,,Steve Darcis,R,178.0,BEL,32.8,3,63.0,1.0,3.0,53.0,33.0,23.0,12.0,7.0,3.0,3.0,0.0,1.0,43.0,34.0,15.0,3.0,7.0,4.0,9.0,27.0,1435.0,86.0,658.0,a ramos,s darcis
2017-01-02,Chennai,Hard,QF,Dudi Sela,Albert Ramos,7-5 6-4,,,,,,,,,,,,,,,,,,,,chennai_hard__a ramos__d sela,chennai_hard__QF__a ramos__d sela,chennai__a ramos__d sela,chennai__QF__a ramos__d sela,chennai_hard,chennai,a ramos__d sela,QF,104534,,,Dudi Sela,R,175.0,ISR,31.7,105077,3.0,,Albert Ramos,L,188.0,ESP,28.9,3,104.0,9.0,1.0,75.0,48.0,32.0,16.0,11.0,2.0,3.0,2.0,1.0,67.0,41.0,29.0,11.0,11.0,1.0,4.0,96.0,616.0,27.0,1435.0,d sela,a ramos
2017-01-02,Chennai,Hard,F,Roberto Bautista Agut,Daniil Medvedev,6-3 6-4,,,,,,,,,,,,,,,,,,,,chennai_hard__d medvedev__r bautista agut,chennai_hard__F__d medvedev__r bautista agut,chennai__d medvedev__r bautista agut,chennai__F__d medvedev__r bautista agut,chennai_hard,chennai,d medvedev__r bautista agut,F,105138,2.0,,Roberto Bautista Agut,R,183.0,ESP,28.7,106421,,,Daniil Medvedev,R,198.0,RUS,20.8,3,73.0,4.0,1.0,49.0,38.0,32.0,9.0,10.0,0.0,0.0,8.0,4.0,63.0,42.0,30.0,9.0,9.0,2.0,4.0,14.0,2350.0,99.0,611.0,r bautista agut,d medvedev
2017-01-02,Doha,Hard,R32,Jo-Wilfried Tsonga,Andrey Kuznetsov,6-1 4-6 6-2,,,,,,,,,,,,,,,,,,,,doha_hard__a kuznetsov__j tsonga,doha_hard__R32__a kuznetsov__j tsonga,doha__a kuznetsov__j tsonga,doha__R32__a kuznetsov__j tsonga,doha_hard,doha,a kuznetsov__j tsonga,R32,104542,5.0,,Jo-Wilfried Tsonga,R,188.0,FRA,31.7,105723,,,Andrey Kuznetsov,R,183.0,RUS,25.8,3,86.0,9.0,2.0,67.0,37.0,31.0,20.0,13.0,1.0,2.0,5.0,1.0,66.0,41.0,29.0,10.0,12.0,1.0,5.0,12.0,2550.0,46.0,970.0,j tsonga,a kuznetsov
2017-01-02,Doha,Hard,F,Novak Djokovic,Andy Murray,6-3 5-7 6-4,,,,,,,,,,,,,,,,,,,,doha_hard__a murray__n djokovic,doha_hard__F__a murray__n djokovic,doha__a murray__n djokovic,doha__F__a murray__n djokovic,doha_hard,doha,a murray__n djokovic,F,104925,2.0,,Novak Djokovic,R,188.0,SRB,29.6,104918,1.0,,Andy Murray,R,191.0,GBR,29.6,3,174.0,2.0,3.0,110.0,79.0,54.0,19.0,16.0,5.0,7.0,8.0,4.0,84.0,50.0,39.0,16.0,15.0,1.0,4.0,2.0,11780.0,1.0,12410.0,n djokovic,a murray
2017-01-09,Auckland,Hard,R32,Joao Sousa,Albert Ramos,6-1 7-5,,,,,,,,,,,,,,,,,,,,auckland_hard__a ramos__j sousa,auckland_hard__R32__a ramos__j sousa,auckland__a ramos__j sousa,auckland__R32__a ramos__j sousa,auckland_hard,auckland,a ramos__j sousa,R32,105311,,,Joao Sousa,R,185.0,POR,27.7,105077,5.0,,Albert Ramos,L,188.0,ESP,28.9,3,87.0,3.0,3.0,54.0,34.0,27.0,11.0,10.0,2.0,3.0,3.0,3.0,59.0,33.0,20.0,12.0,9.0,5.0,9.0,44.0,1030.0,26.0,1435.0,j sousa,a ramos
2017-01-09,Auckland,Hard,F,Jack Sock,Joao Sousa,6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,auckland_hard__j sock__j sousa,auckland_hard__F__j sock__j sousa,auckland__j sock__j sousa,auckland__F__j sock__j sousa,auckland_hard,auckland,j sock__j sousa,F,106058,4.0,,Jack Sock,R,191.0,USA,24.2,105311,,,Joao Sousa,R,185.0,POR,27.7,3,116.0,13.0,3.0,78.0,54.0,43.0,11.0,15.0,1.0,4.0,10.0,3.0,95.0,60.0,40.0,14.0,15.0,4.0,9.0,23.0,1710.0,44.0,1030.0,j sock,j sousa
2017-01-09,Sydney,Hard,SF,Daniel Evans,Andrey Kuznetsov,6-2 3-6 6-3,,,,,,,,,,,,,,,,,,,,sydney_hard__a kuznetsov__d evans,sydney_hard__SF__a kuznetsov__d evans,sydney__a kuznetsov__d evans,sydney__SF__a kuznetsov__d evans,sydney_hard,sydney,a kuznetsov__d evans,SF,105554,,,Daniel Evans,R,175.0,GBR,26.6,105723,,,Andrey Kuznetsov,R,183.0,RUS,25.8,3,,,,,,,,,,,,,,,,,,,,67.0,736.0,48.0,935.0,d evans,a kuznetsov
2017-01-09,Sydney,Hard,R32,Gilles Muller,Alexandr Dolgopolov,3-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,sydney_hard__a dolgopolov__g muller,sydney_hard__R32__a dolgopolov__g muller,sydney__a dolgopolov__g muller,sydney__R32__a dolgopolov__g muller,sydney_hard,sydney,a dolgopolov__g muller,R32,104180,6.0,,Gilles Muller,L,193.0,LUX,33.6,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,3,127.0,14.0,6.0,96.0,56.0,44.0,20.0,15.0,2.0,3.0,8.0,6.0,100.0,65.0,49.0,17.0,15.0,5.0,7.0,34.0,1255.0,63.0,760.0,g muller,a dolgopolov
