tourney_sack,surface_sack,round_sack,winner_name,winner_name,loser_name,loser_name
Brisbane,Hard,R32,Rafael Nadal,Rafael Nadal,Alexandr Dolgopolov,Alexandr Dolgopolov
Brisbane,Hard,F,Grigor Dimitrov,Grigor Dimitrov,Kei Nishikori,Kei Nishikori
Chennai,Hard,R16,Albert Ramos,Albert Ramos,Steve Darcis,Steve Darcis
Chennai,Hard,QF,Dudi Sela,Dudi Sela,Albert Ramos,Albert Ramos
Chennai,Hard,F,Roberto Bautista Agut,Roberto Bautista Agut,Daniil Medvedev,Daniil Medvedev
Doha,Hard,R32,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Andrey Kuznetsov,Andrey Kuznetsov
Doha,Hard,F,Novak Djokovic,Novak Djokovic,Andy Murray,Andy Murray
Auckland,Hard,R32,Joao Sousa,Joao Sousa,Albert Ramos,Albert Ramos
Auckland,Hard,F,Jack Sock,Jack Sock,Joao Sousa,Joao Sousa
Sydney,Hard,SF,Daniel Evans,Daniel Evans,Andrey Kuznetsov,Andrey Kuznetsov
Sydney,Hard,R32,Gilles Muller,Gilles Muller,Alexandr Dolgopolov,Alexandr Dolgopolov
Sydney,Hard,R32,Andrey Kuznetsov,Andrey Kuznetsov,Martin Klizan,Martin Klizan
Sydney,Hard,R32,Gastao Elias,Gastao Elias,Christopher Oconnell,Christopher Oconnell
Sydney,Hard,R16,Andrey Kuznetsov,Andrey Kuznetsov,Alex De Minaur,Alex De Minaur
Sydney,Hard,QF,Andrey Kuznetsov,Andrey Kuznetsov,Pablo Carreno Busta,Pablo Carreno Busta
Sydney,Hard,F,Gilles Muller,Gilles Muller,Daniel Evans,Daniel Evans
Australian Open,Hard,R128,Lukas Lacko,Lukas Lacko,Albert Ramos,Albert Ramos
Australian Open,Hard,R128,Kei Nishikori,Kei Nishikori,Andrey Kuznetsov,Andrey Kuznetsov
Australian Open,Hard,R128,Victor Estrella,Victor Estrella,Aljaz Bedene,Aljaz Bedene
Australian Open,Hard,R128,Alexandr Dolgopolov,Alexandr Dolgopolov,Borna Coric,Borna Coric
Australian Open,Hard,R128,Grigor Dimitrov,Grigor Dimitrov,Christopher Oconnell,Christopher Oconnell
Australian Open,Hard,R64,Bernard Tomic,Bernard Tomic,Victor Estrella,Victor Estrella
Australian Open,Hard,R64,Gael Monfils,Gael Monfils,Alexandr Dolgopolov,Alexandr Dolgopolov
Australian Open,Hard,R16,Mischa Zverev,Mischa Zverev,Andy Murray,Andy Murray
Australian Open,Hard,R16,Roger Federer,Roger Federer,Kei Nishikori,Kei Nishikori
Australian Open,Hard,R16,Stan Wawrinka,Stan Wawrinka,Andreas Seppi,Andreas Seppi
Australian Open,Hard,R16,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Daniel Evans,Daniel Evans
Australian Open,Hard,R16,Rafael Nadal,Rafael Nadal,Gael Monfils,Gael Monfils
Australian Open,Hard,R16,Milos Raonic,Milos Raonic,Roberto Bautista Agut,Roberto Bautista Agut
Australian Open,Hard,R16,David Goffin,David Goffin,Dominic Thiem,Dominic Thiem
