feature,gain,split
elo_decay_diff,6235.3163866996765,323
elo_diff,4049.7604126930237,279
selo_diff,2731.1663434505463,333
B_selo_decay,1829.7298798561096,241
B_rest_days,1811.654905796051,252
selo_decay_diff,1755.8321793079376,246
B_elo,1752.5270056724548,244
B_selo,1718.7839710712433,225
A_elo,1702.9770724773407,239
A_elo_decay,1478.4448804855347,205
A_selo,1450.5083003044128,207
A_selo_decay,1361.1154088974,193
B_elo_decay,1200.9843196868896,157
A_rest_days,1198.5708091259003,180
rest_log_diff,1182.112398147583,174
level_ord,886.0497784614563,82
B_form5,719.8088533878326,109
A_form5_surf,698.1271729469299,100
best_of,558.9515891075134,63
B_form5_surf,552.355402469635,80
A_h2h_played,531.5107226371765,52
B_h2h_rate,472.6706368923187,70
A_form5,434.5872395038605,70
h2h_diff,408.2003698348999,62
A_h2h_rate,399.4550590515137,57
h2h_rate_diff,394.808700799942,54
round_ord,386.4755516052246,45
surf_hard,254.14920043945312,37
surf_clay,251.37930011749268,38
B_h2h_wins,229.6022710800171,36
A_h2h_wins,229.45789909362793,35
surf_grass,87.81735944747925,13
level_ATP250,77.23669147491455,9
B_h2h_played,40.09340000152588,6
level_GS,30.798620223999023,3
B_short_rest_lt3,19.310070037841797,3
A_short_rest_lt3,18.574960231781006,3
level_M1000,10.332799911499023,1
B_lefty,0.0,0
level_Finals,0.0,0
lefty_vs_righty,0.0,0
h2h_conf_diff,0.0,0
A_height_cm,0.0,0
B_height_cm,0.0,0
A_lefty,0.0,0
surf_carpet,0.0,0
B_h2h_conf,0.0,0
A_h2h_conf,0.0,0
level_Olympics,0.0,0
level_ATP500,0.0,0
level_Davis,0.0,0
height_diff,0.0,0
