feature,gain,split
B_h2h_total_before,93256.21611082554,1034
A_h2h_wr_before,52134.083976984024,412
A_h2h_total_before,27742.8419688344,782
B_h2h_wr_before,22770.432088911533,391
A_h2h_wins_before,15796.979993224144,541
B_h2h_wins_before,12364.171261906624,428
B_elo,6190.221026659012,1289
rank_diff,6096.5617216825485,1255
A_age,5785.551378428936,1310
B_rank,5693.872901439667,1167
age_diff,5162.264606177807,1170
elo_diff,5046.821862697601,1143
selo_diff,4997.1830334067345,1133
B_age,4886.397891223431,1117
A_elo,4864.818843126297,1000
A_selo,4126.510236620903,989
B_selo,4064.093789458275,935
A_rank,4021.727317035198,931
rest_diff,2501.8615503907204,608
B_rest,2176.9586868286133,542
form10_diff,2032.706135392189,498
A_rest,1963.5997854471207,502
B_form10,1655.052191734314,389
form5_diff,1486.269964814186,338
A_form10,1422.8932538032532,297
B_form5,883.277680516243,227
best_of,875.0453480482101,189
A_form5,627.3016904592514,153
round_ord,449.7293918132782,113
surf_hard,410.28172075748444,97
surf_clay,277.62883031368256,65
surf_grass,120.07052636146545,35
surf_carpet,0.0,0
