feature,|AUC-0.5|
A_h2h_wr_before,0.15975503062117247
B_h2h_wr_before,0.15016796249525416
B_h2h_total_before,0.14671874742072333
A_h2h_total_before,0.13239447663381704
elo_diff,0.10009244127502925
selo_diff,0.08646560689347793
A_elo,0.08377077865266847
A_rank,0.07891678634510307
A_form10,0.07342808564023828
A_selo,0.07165849551824888
rank_diff,0.06230087984284982
A_form5,0.05916613017712413
form10_diff,0.053870978391852065
form5_diff,0.04404868023572539
A_rest,0.02420682084550757
A_age,0.020719226134469027
B_rank,0.020237623598936993
A_h2h_wins_before,0.02022895722940299
rest_diff,0.016465689430330666
age_diff,0.014056851384143032
best_of,0.014014757589263627
B_form10,0.012783720431172485
B_h2h_wins_before,0.011002162465540866
surf_clay,0.010320408062199804
surf_grass,0.007207943346704326
